POST. DATE, TRANSACTION, TAG/LICENSE, ENTRY DATE, ENTRY PLAZA, EXIT DATE, EXIT PLAZA, CLASS, AMOUNT
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2842074   ,1/1/0001 12:00:00 AM,,9/7/2022 5:00:12 AM,Central Florida Expressway Authority - 338,3  ,2.15
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,3138062   ,1/1/0001 12:00:00 AM,,9/7/2022 5:03:13 AM,Central Florida Expressway Authority - 338,5  ,3.39
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2882886   ,1/1/0001 12:00:00 AM,,9/7/2022 5:22:03 AM,Central Florida Expressway Authority - 338,5  ,3.39
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2852142   ,1/1/0001 12:00:00 AM,,9/7/2022 5:25:35 AM,Central Florida Expressway Authority - 387,3  ,0.62
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2882738   ,1/1/0001 12:00:00 AM,,9/7/2022 6:03:15 AM,Central Florida Expressway Authority - 331,3  ,2.15
9/12/2022 12:42:46 AM, AWAY AGENCY VTOLL,2882738   ,1/1/0001 12:00:00 AM,,9/7/2022 6:11:11 AM,Central Florida Expressway Authority - 338,3  ,2.15
9/12/2022 12:42:47 AM, AWAY AGENCY VTOLL,2882902   ,1/1/0001 12:00:00 AM,,9/7/2022 7:14:06 AM,Central Florida Expressway Authority - 338,5  ,3.39
9/12/2022 12:42:47 AM, AWAY AGENCY VTOLL,2882827   ,1/1/0001 12:00:00 AM,,9/7/2022 9:14:48 AM,Central Florida Expressway Authority - 338,5  ,3.39
9/12/2022 12:42:47 AM, AWAY AGENCY VTOLL,2852157   ,1/1/0001 12:00:00 AM,,9/7/2022 9:43:07 AM,Central Florida Expressway Authority - 331,5  ,3.39
9/12/2022 12:42:47 AM, AWAY AGENCY VTOLL,2841955   ,1/1/0001 12:00:00 AM,,9/7/2022 9:52:08 AM,Central Florida Expressway Authority - 338,5  ,3.39
9/12/2022 12:42:47 AM, AWAY AGENCY VTOLL,3138371   ,1/1/0001 12:00:00 AM,,9/7/2022 9:54:38 AM,Central Florida Expressway Authority - 320,5  ,2.78
9/12/2022 12:42:47 AM, AWAY AGENCY VTOLL,3119083   ,1/1/0001 12:00:00 AM,,9/7/2022 10:05:11 AM,Central Florida Expressway Authority - 338,5  ,3.39
9/12/2022 12:43:47 AM, AWAY AGENCY TOLL,00605944427,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 12:34:02 AM,Virginia DOT - 102,5  ,15.75
